graph_name, num_vertice, num_edge, algorithm_usaded,source_vertex_id,execution_time_ns
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N901,495467200
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N901,713796800
graph-v3.json,1000,2994,SSSP-Algorithm,N901,1489067300
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N902,131349700
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N902,450757300
graph-v3.json,1000,2994,SSSP-Algorithm,N902,986328100
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N903,82307100
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N903,247481700
graph-v3.json,1000,2994,SSSP-Algorithm,N903,1686500300
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N904,240026800
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N904,487834700
graph-v3.json,1000,2994,SSSP-Algorithm,N904,911136300
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N900,96302400
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N900,256817000
graph-v3.json,1000,2994,SSSP-Algorithm,N900,785878100
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N909,86906400
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N909,254283700
graph-v3.json,1000,2994,SSSP-Algorithm,N909,752735700
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N905,93974300
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N905,244068400
graph-v3.json,1000,2994,SSSP-Algorithm,N905,915257000
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N906,114017600
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N906,302797200
graph-v3.json,1000,2994,SSSP-Algorithm,N906,1217932800
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N907,92596300
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N907,269077500
graph-v3.json,1000,2994,SSSP-Algorithm,N907,814073100
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N908,115163000
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N908,270100500
graph-v3.json,1000,2994,SSSP-Algorithm,N908,826624600
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N923,93467700
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N923,226178000
graph-v3.json,1000,2994,SSSP-Algorithm,N923,980148600
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N924,100107000
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N924,262862700
graph-v3.json,1000,2994,SSSP-Algorithm,N924,736454800
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N925,80330100
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N925,237650000
graph-v3.json,1000,2994,SSSP-Algorithm,N925,905021900
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N926,91095100
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N926,287550100
graph-v3.json,1000,2994,SSSP-Algorithm,N926,1145824900
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N920,95452300
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N920,275208200
graph-v3.json,1000,2994,SSSP-Algorithm,N920,979204600
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N921,291381200
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N921,444859800
graph-v3.json,1000,2994,SSSP-Algorithm,N921,936978900
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N922,92903100
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N922,286089600
graph-v3.json,1000,2994,SSSP-Algorithm,N922,1087827200
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N927,106005500
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N927,444770900
graph-v3.json,1000,2994,SSSP-Algorithm,N927,1407082300
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N928,543221000
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N928,410036800
graph-v3.json,1000,2994,SSSP-Algorithm,N928,1083352200
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N929,128135700
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N929,359156600
graph-v3.json,1000,2994,SSSP-Algorithm,N929,940343100
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N912,98075000
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N912,317650200
graph-v3.json,1000,2994,SSSP-Algorithm,N912,1035002600
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N913,106688500
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N913,273692000
graph-v3.json,1000,2994,SSSP-Algorithm,N913,949011000
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N914,106517000
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N914,283685300
graph-v3.json,1000,2994,SSSP-Algorithm,N914,943331200
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N915,116257000
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N915,294017200
graph-v3.json,1000,2994,SSSP-Algorithm,N915,753454000
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N910,86401700
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N910,256907700
graph-v3.json,1000,2994,SSSP-Algorithm,N910,1641035100
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N911,108021700
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N911,286388600
graph-v3.json,1000,2994,SSSP-Algorithm,N911,934723300
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N916,91993100
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N916,267485000
graph-v3.json,1000,2994,SSSP-Algorithm,N916,953853600
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N917,102929600
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N917,276664200
graph-v3.json,1000,2994,SSSP-Algorithm,N917,973292700
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N918,122296200
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N918,312030700
graph-v3.json,1000,2994,SSSP-Algorithm,N918,1056048200
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N919,99697200
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N919,303955700
graph-v3.json,1000,2994,SSSP-Algorithm,N919,759670100
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N940,104202800
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N940,248324500
graph-v3.json,1000,2994,SSSP-Algorithm,N940,1000745400
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N703,88600100
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N703,275482900
graph-v3.json,1000,2994,SSSP-Algorithm,N703,995342800
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N945,91688400
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N945,256159800
graph-v3.json,1000,2994,SSSP-Algorithm,N945,1046667000
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N704,90397600
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N704,248789900
graph-v3.json,1000,2994,SSSP-Algorithm,N704,754556900
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N946,89596400
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N946,254560900
graph-v3.json,1000,2994,SSSP-Algorithm,N946,739354200
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N705,87931700
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N705,231351900
graph-v3.json,1000,2994,SSSP-Algorithm,N705,842459800
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N947,95460400
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N947,259043400
graph-v3.json,1000,2994,SSSP-Algorithm,N947,840426200
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N706,86871100
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N706,248879100
graph-v3.json,1000,2994,SSSP-Algorithm,N706,680499200
graph-v3.json,1000,2994,Dijkstra-PriorityQueue-Algorithm,N948,88594000
graph-v3.json,1000,2994,Dijkstra-List-Algorithm,N948,243443000
